"DGUID","srpop21","srpop26","srpop31"
"2021S051235250624",380,445,485
"2021S051235250625",70,95,125
"2021S051235250626",135,185,230
"2021S051235250627",105,140,170
"2021S051235250628",225,265,275
"2021S051235250629",310,375,435
"2021S051235250630",110,145,180
"2021S051235250631",110,160,195
"2021S051235250632",95,135,195
"2021S051235250633",75,100,120
"2021S051235250634",125,170,235
"2021S051235250635",75,105,120
"2021S051235250636",105,160,240
"2021S051235250637",320,415,555
"2021S051235250638",40,60,85
"2021S051235250639",110,165,215
"2021S051235250640",130,185,230
"2021S051235250641",70,105,140
"2021S051235250642",230,265,300
"2021S051235250643",75,120,160
"2021S051235250644",75,105,135
"2021S051235250645",145,190,240
"2021S051235250646",110,175,245
"2021S051235250647",95,165,250
"2021S051235250648",105,160,250
"2021S051235250649",55,130,185
"2021S051235250650",405,455,500
"2021S051235250651",55,90,120
"2021S051235250652",105,160,225
"2021S051235250655",270,375,530
"2021S051235250656",70,100,145
"2021S051235250657",110,170,225
"2021S051235250658",70,100,120
"2021S051235250659",85,135,185
"2021S051235250661",170,260,360
"2021S051235250662",215,320,480
"2021S051235250663",100,150,220
"2021S051235250664",75,115,155
"2021S051235250665",100,145,185
"2021S051235250666",100,135,180
"2021S051235250667",35,50,65
"2021S051235250668",60,85,110
"2021S051235250669",70,75,85
"2021S051235250670",75,95,100
"2021S051235250671",55,75,95
"2021S051235250672",70,90,110
"2021S051235250675",60,95,120
"2021S051235250676",65,80,100
"2021S051235250677",80,110,150
"2021S051235250678",80,110,135
"2021S051235250679",105,125,150
"2021S051235250680",65,95,130
"2021S051235250681",145,175,220
"2021S051235250692",55,85,120
"2021S051235250693",70,95,130
"2021S051235250694",50,70,100
"2021S051235250695",45,65,95
"2021S051235250696",40,55,90
"2021S051235250700",70,105,135
"2021S051235250701",55,75,110
"2021S051235250702",60,95,135
"2021S051235250703",75,105,150
"2021S051235250704",45,75,110
"2021S051235250705",60,110,145
"2021S051235250706",60,85,130
"2021S051235250707",55,95,130
"2021S051235250708",85,115,160
"2021S051235250709",60,90,120
"2021S051235250710",55,85,115
"2021S051235250711",40,60,80
"2021S051235250712",60,80,105
"2021S051235250713",60,85,115
"2021S051235250714",75,100,145
"2021S051235250715",60,95,130
"2021S051235250716",65,105,150
"2021S051235250717",50,90,125
"2021S051235250718",40,75,105
"2021S051235250719",45,70,100
"2021S051235250720",60,85,135
"2021S051235250721",65,95,140
"2021S051235250724",80,115,165
"2021S051235250725",70,100,125
"2021S051235250726",50,95,165
"2021S051235250727",30,45,60
"2021S051235250728",50,80,120
"2021S051235250729",50,80,115
"2021S051235250730",225,270,310
"2021S051235250731",65,115,160
"2021S051235250732",85,125,165
"2021S051235250733",80,110,145
"2021S051235250734",75,115,155
"2021S051235250735",80,110,145
"2021S051235250736",85,125,175
"2021S051235250737",75,105,135
"2021S051235250738",75,115,155
"2021S051235250739",75,115,155
"2021S051235250740",165,230,290
"2021S051235250741",105,145,195
"2021S051235250742",65,105,145
"2021S051235250743",75,105,145
"2021S051235250744",105,155,210
"2021S051235250745",85,120,170
"2021S051235250746",70,105,135
"2021S051235250747",65,90,130
"2021S051235250748",55,75,120
"2021S051235250749",90,125,165
"2021S051235250750",70,105,145
"2021S051235250753",80,120,175
"2021S051235250754",95,130,190
"2021S051235250755",50,90,125
"2021S051235250756",70,105,135
"2021S051235250757",60,105,145
"2021S051235250758",55,100,135
"2021S051235250759",75,105,150
"2021S051235250760",45,80,125
"2021S051235250761",75,100,130
"2021S051235250762",65,100,145
"2021S051235250763",70,110,155
"2021S051235250764",60,90,125
"2021S051235250765",75,105,145
"2021S051235250766",75,125,170
"2021S051235250767",40,70,115
"2021S051235250768",70,105,140
"2021S051235250769",90,130,170
"2021S051235250770",65,100,150
"2021S051235250771",65,105,140
"2021S051235250772",30,55,80
"2021S051235250773",65,100,135
"2021S051235250774",65,105,145
"2021S051235250775",75,105,155
"2021S051235250776",50,75,115
"2021S051235250777",50,100,135
"2021S051235250778",55,95,135
"2021S051235250779",45,65,95
"2021S051235250780",60,90,135
"2021S051235250781",45,75,115
"2021S051235250782",45,75,105
"2021S051235250783",60,95,145
"2021S051235250784",50,75,110
"2021S051235250785",60,95,120
"2021S051235250786",115,135,155
"2021S051235250787",120,180,255
"2021S051235250788",125,215,295
"2021S051235250789",95,140,180
"2021S051235250790",80,115,155
"2021S051235250791",70,105,140
"2021S051235250792",55,85,120
"2021S051235250793",85,120,165
"2021S051235250798",40,60,80
"2021S051235250799",60,85,145
"2021S051235250800",65,110,150
"2021S051235250801",255,305,360
"2021S051235250802",55,80,110
"2021S051235250803",115,155,200
"2021S051235250805",200,270,350
"2021S051235250806",70,100,125
"2021S051235250807",125,175,265
"2021S051235250810",185,255,350
"2021S051235250812",115,160,200
"2021S051235250813",95,145,195
"2021S051235250814",110,140,185
"2021S051235250815",400,490,595
"2021S051235250826",150,210,305
"2021S051235250827",75,100,125
"2021S051235250828",80,120,145
"2021S051235250829",100,130,170
"2021S051235250830",120,165,210
"2021S051235250831",1145,1205,1260
"2021S051235250832",275,300,325
"2021S051235250833",80,115,155
"2021S051235250834",75,115,150
"2021S051235250835",90,130,165
"2021S051235250836",90,130,165
"2021S051235250843",190,270,340
"2021S051235250845",325,485,680
"2021S051235250846",520,605,665
"2021S051235250847",65,105,150
"2021S051235250848",270,325,400
"2021S051235250849",190,275,365
"2021S051235250850",220,300,380
"2021S051235250852",330,480,635
"2021S051235250853",95,160,250
"2021S051235250854",115,180,245
"2021S051235250855",100,135,180
"2021S051235250857",85,130,170
"2021S051235250859",205,245,300
"2021S051235250861",45,70,110
"2021S051235250862",125,185,235
"2021S051235250863",135,200,265
"2021S051235250864",105,155,190
"2021S051235250865",85,115,160
"2021S051235250866",80,125,175
"2021S051235250867",75,105,155
"2021S051235250868",60,100,135
"2021S051235250869",90,130,170
"2021S051235250870",150,210,285
"2021S051235250871",85,140,210
"2021S051235250872",120,175,240
"2021S051235250873",90,150,225
"2021S051235250874",140,200,280
"2021S051235250875",130,195,255
"2021S051235250876",80,115,155
"2021S051235250877",205,240,295
"2021S051235250878",90,120,160
"2021S051235250879",165,230,290
"2021S051235250880",105,130,170
"2021S051235250881",200,235,280
"2021S051235250882",150,205,265
"2021S051235250883",25,55,85
"2021S051235250884",45,80,135
"2021S051235250885",60,95,145
"2021S051235250886",50,80,120
"2021S051235250887",60,105,170
"2021S051235250888",85,125,165
"2021S051235250889",40,65,100
"2021S051235250890",40,70,115
"2021S051235250893",95,140,200
"2021S051235250894",115,170,220
"2021S051235250895",130,185,235
"2021S051235250896",65,110,140
"2021S051235250897",90,145,190
"2021S051235250898",95,145,175
"2021S051235250899",105,150,200
"2021S051235250900",70,100,145
"2021S051235250901",110,160,220
"2021S051235250902",70,110,145
"2021S051235250903",140,180,240
"2021S051235250904",100,160,230
"2021S051235250905",140,190,240
"2021S051235250906",125,185,230
"2021S051235250907",100,145,165
"2021S051235250908",95,135,175
"2021S051235250909",170,240,365
